frame,e_y,e_y_dot,e_phi,e_phi_dot,timestamp
252,-1.043079,0.169196,0.158127,-0.191114,1620812675648464256
253,-1.029181,0.171235,0.153589,-0.190764,1620812675668173792
254,-1.019126,0.155640,0.149226,-0.179943,1620812675687058176
255,-1.016893,0.173696,0.146957,-0.189368,1620812675706177728
256,-1.015599,0.159793,0.140324,-0.179943,1620812675728766720
257,-1.012383,0.168317,0.138230,-0.183085,1620812675747604096
258,-1.001367,0.166575,0.131772,-0.196000,1620812675768386144
259,-0.980693,0.121037,0.127060,-0.193033,1620812675790149760
260,-0.970118,0.128041,0.122348,-0.202633,1620812675807191392
261,-0.969383,0.115492,0.119904,-0.199491,1620812675829721888
262,-0.974251,0.109261,0.110479,-0.211708,1620812675848096864
263,-0.964497,0.103161,0.108036,-0.208567,1620812675868195328
264,-0.953454,0.081621,0.097913,-0.227242,1620812675903597728
265,-0.943891,0.081621,0.097913,-0.227242,1620812675907980096
266,-0.943351,0.083401,0.095295,-0.222006,1620812675928197728
267,-0.937564,0.077537,0.085347,-0.226893,1620812675947602112
268,-0.917967,0.067641,0.077493,-0.225322,1620812675970155744
269,-0.908542,0.055840,0.074875,-0.232652,1620812675989700704
270,-0.898240,0.041095,0.067021,-0.225671,1620812676007836192
271,-0.889317,0.043723,0.064403,-0.228638,1620812676029010432
272,-0.881548,0.033032,0.055327,-0.220784,1620812676047547648
273,-0.881257,0.034320,0.052709,-0.224100,1620812676068655840
274,-0.853743,0.019209,0.044855,-0.222180,1620812676088124512
275,-0.853661,0.017865,0.042237,-0.224449,1620812676114521472
276,-0.835814,-0.004271,0.034383,-0.230209,1620812676128709152
277,-0.827096,-0.011411,0.028798,-0.231605,1620812676148540800
278,-0.818647,-0.020298,0.023387,-0.237190,1620812676169164128
279,-0.816785,-0.028318,0.017628,-0.227940,1620812676189305472
280,-0.808412,-0.034973,0.012217,-0.238761,1620812676209668000
281,-0.790675,-0.051992,0.006458,-0.237365,1620812676233352032
282,-0.782441,-0.055392,0.003491,-0.241554,1620812676247121824
283,-0.766479,-0.066754,-0.005236,-0.245568,1620812676266934016
284,-0.767133,-0.081484,-0.008203,-0.247488,1620812676286078272
285,-0.745253,-0.092235,-0.017104,-0.257611,1620812676311519136
286,-0.736843,-0.096320,-0.020246,-0.261625,1620812676331400448
287,-0.721736,-0.107460,-0.029496,-0.269130,1620812676345829504
288,-0.713622,-0.112103,-0.032638,-0.271399,1620812676366798048
289,-0.697736,-0.133840,-0.042062,-0.279951,1620812676386890464
290,-0.690036,-0.139894,-0.048695,-0.271573,1620812676408506880
291,-0.664209,-0.150450,-0.052185,-0.288328,1620812676428981184
292,-0.666038,-0.170774,-0.062134,-0.291994,1620812676446956800
293,-0.642656,-0.181459,-0.068766,-0.296008,1620812676473368480
294,-0.635042,-0.192542,-0.075398,-0.296357,1620812676485732416
295,-0.628780,-0.199413,-0.078714,-0.290772,1620812676511581824
296,-0.592486,-0.235465,-0.092153,-0.287456,1620812676528312288
297,-0.595245,-0.231748,-0.095470,-0.284140,1620812676547892416
298,-0.581883,-0.271547,-0.105243,-0.270177,1620812676574633728
299,-0.558417,-0.266096,-0.108559,-0.276460,1620812676586561472
300,-0.530722,-0.299282,-0.120777,-0.270002,1620812676607835360
301,-0.521727,-0.302073,-0.123918,-0.273144,1620812676628091424
302,-0.502132,-0.314282,-0.133518,-0.264592,1620812676646249280
303,-0.504026,-0.314989,-0.136659,-0.268781,1620812676668624576
304,-0.479518,-0.331555,-0.142942,-0.262498,1620812676686077696
305,-0.447757,-0.345776,-0.153589,-0.266512,1620812676706621152
306,-0.438771,-0.333154,-0.156731,-0.266512,1620812676728899808
307,-0.429404,-0.357353,-0.165981,-0.260229,1620812676748166272
308,-0.422794,-0.344933,-0.169122,-0.262323,1620812676775025952
309,-0.409881,-0.370803,-0.178373,-0.266686,1620812676788328736
310,-0.403532,-0.349632,-0.181514,-0.264417,1620812676808771808
311,-0.397413,-0.357235,-0.187797,-0.265465,1620812676827834848
312,-0.351529,-0.374322,-0.193906,-0.259356,1620812676846760640
313,-0.332734,-0.385819,-0.203156,-0.262498,1620812676876530784
314,-0.335387,-0.403894,-0.209440,-0.267908,1620812676887043680
315,-0.323354,-0.401475,-0.212581,-0.265639,1620812676906479488
316,-0.283955,-0.403407,-0.214152,-0.265116,1620812676929759744
317,-0.274827,-0.429184,-0.229511,-0.260752,1620812676948394688
318,-0.263227,-0.436881,-0.235619,-0.264941,1620812676967044832
319,-0.257546,-0.441288,-0.238761,-0.265988,1620812676993090336
320,-0.210428,-0.463068,-0.250455,-0.264417,1620812677006941728
321,-0.193017,-0.451572,-0.253422,-0.269828,1620812677029061568
322,-0.184939,-0.483594,-0.262672,-0.269828,1620812677047887072
323,-0.179528,-0.487583,-0.265814,-0.272097,1620812677068301120
324,-0.160366,-0.500121,-0.272097,-0.267734,1620812677086874656
325,-0.167261,-0.510539,-0.278205,-0.268955,1620812677109397312
326,-0.114593,-0.502852,-0.285710,-0.266861,1620812677131044192
327,-0.107844,-0.212802,-0.294961,-0.263719,1620812677152778336
328,-0.102903,-0.201555,-0.297928,-0.265814,1620812677167480480
329,-0.048500,-0.222530,-0.307876,-0.263196,1620812677188051456
330,-0.043539,-0.241662,-0.310843,-0.263196,1620812677206175520
331,-0.025360,-0.247132,-0.320268,-0.258658,1620812677231470304
332,-0.020694,-0.263741,-0.323235,-0.271573,1620812677247810656
333,-0.007209,-0.256043,-0.332834,-0.269304,1620812677266874304
334,0.036645,-0.261804,-0.340165,-0.273493,1620812677287516960
335,0.045549,-0.248534,-0.343306,-0.272446,1620812677304500576
336,0.058324,-0.263696,-0.353080,-0.273668,1620812677332965472
337,0.066735,-0.256093,-0.356222,-0.275762,1620812677348577728
338,0.070541,-0.311154,-0.365996,-0.275937,1620812677368940832
339,0.129472,-0.279689,-0.369486,-0.274889,1620812677386845824
340,0.137550,-0.329020,-0.379086,-0.276111,1620812677406533504
341,0.166163,-0.393010,-0.382402,-0.275064,1620812677429837632
342,0.213878,-0.387759,-0.392525,-0.278904,1620812677447471584
343,0.225950,-0.416555,-0.398982,-0.276809,1620812677468257056
344,0.233181,-0.431379,-0.402298,-0.275762,1620812677487469760
345,0.239991,-0.429014,-0.411898,-0.281173,1620812677507508928
346,0.314977,-0.418360,-0.416086,-0.276286,1620812677531323072
347,0.310411,-0.448464,-0.422544,-0.281696,1620812677547122624
348,0.325092,-0.449183,-0.429002,-0.272097,1620812677571067264
349,0.391867,-0.445992,-0.439125,-0.256389,1620812677586573312
350,0.395112,-0.494237,-0.445059,-0.261625,1620812677607009312
351,0.414169,-0.534711,-0.448201,-0.253945,1620812677628728128
352,0.422672,-0.557924,-0.457276,-0.258134,1620812677649149408
353,0.484952,-0.615261,-0.461465,-0.245568,1620812677669159104
354,0.506425,-0.578475,-0.470366,-0.247488,1620812677690002240
355,0.509032,-0.512133,-0.473333,-0.243299,1620812677707303168
356,0.575378,-0.524884,-0.482060,-0.247488,1620812677728772768
357,0.578015,-0.542456,-0.487645,-0.247662,1620812677746932320
358,0.580463,-0.581012,-0.490612,-0.250978,1620812677770707648
359,0.600625,-0.533616,-0.498990,-0.244870,1620812677787244992
360,0.658326,-0.520751,-0.500560,-0.240332,1620812677806381312
361,0.666228,-0.509621,-0.503527,-0.240332,1620812677832439712
362,0.680462,-0.484762,-0.511905,-0.235270,1620812677846960512
363,0.697665,-0.536543,-0.520108,-0.236143,1620812677866148000
364,0.757169,-0.482921,-0.523075,-0.235794,1620812677894880064
365,0.761021,-0.484183,-0.528486,-0.235445,1620812677907325792
366,0.768672,-0.535349,-0.531278,-0.231082,1620812677927730912
367,0.840516,-0.529966,-0.539656,-0.234223,1620812677945628320
368,0.851496,-0.507012,-0.547510,-0.228638,1620812677976456736
369,0.853021,-0.515655,-0.550128,-0.227416,1620812677987229152
370,0.861908,-0.510675,-0.555189,-0.223053,1620812678006572448
371,0.927025,-0.556422,-0.565138,-0.222704,1620812678028445728
372,0.935826,-0.587855,-0.567581,-0.224973,1620812678049230464
373,1.007849,-0.536845,-0.577180,-0.215723,1620812678067178720
374,1.015353,-0.543956,-0.579624,-0.217817,1620812678088332512
375,1.017665,-0.561413,-0.584511,-0.212756,1620812678107633632
376,1.017637,-0.534997,-0.586954,-0.206647,1620812678133361056
377,1.105433,-0.537683,-0.594459,-0.208567,1620812678147195040
378,1.108188,-0.624051,-0.601615,-0.209789,1620812678168324608
379,1.108955,-0.556748,-0.604058,-0.199142,1620812678186702176
380,1.182002,-0.605525,-0.609294,-0.207694,1620812678206708640
381,1.190721,-0.644996,-0.616276,-0.193732,1620812678228527488
382,1.198552,-0.678616,-0.618370,-0.200015,1620812678249016992
383,1.266487,-0.696109,-0.626748,-0.194081,1620812678270406176
384,1.273672,-0.724091,-0.628842,-0.199317,1620812678289107072
385,1.274528,-0.679271,-0.633031,-0.182212,1620812678304910144
386,1.342640,-0.745528,-0.639663,-0.179943,1620812678330367360
387,1.343016,-0.696554,-0.643503,-0.175755,1620812678348507392
388,1.350359,-0.669396,-0.647517,-0.171391,1620812678370508128
389,1.419210,-0.671369,-0.651880,-0.170693,1620812678387673632
390,1.426659,-0.704705,-0.657466,-0.164235,1620812678406156416
391,1.433779,-0.733576,-0.659385,-0.168424,1620812678430186976
392,1.510271,-0.721111,-0.664970,-0.160047,1620812678447116128
393,1.510289,-0.783646,-0.666890,-0.164235,1620812678468813760
394,1.580345,-0.708199,-0.673173,-0.162839,1620812678487066816
395,1.587276,-0.717147,-0.674919,-0.165108,1620812678508661504
396,1.594132,-0.665230,-0.676664,-0.162839,1620812678530399552
397,1.664719,-0.676789,-0.683296,-0.157603,1620812678550073312
398,1.671254,-0.641612,-0.688358,-0.152018,1620812678568321408
399,1.670957,-0.685025,-0.690103,-0.145735,1620812678588719776
400,1.749035,-0.659630,-0.697957,-0.145735,1620812678606531616
401,1.755490,-0.690271,-0.700226,-0.138230,1620812678630000352
402,1.761775,-0.674370,-0.704589,-0.142419,1620812678647125472
403,1.833655,-0.733430,-0.712443,-0.132470,1620812678670417760
404,1.846583,-0.731736,-0.714538,-0.130376,1620812678687221920
405,1.911619,-0.711804,-0.721868,-0.118159,1620812678707696256
406,1.918346,-0.735995,-0.723963,-0.118159,1620812678729986688
407,2.004663,-0.793151,-0.729024,-0.101055,1620812678751752928
408,2.003913,-0.802242,-0.730420,-0.103323,1620812678766282528
409,2.008901,-0.837030,-0.734609,-0.100705,1620812678784962720
410,2.007987,-0.846247,-0.736005,-0.101927,1620812678805051840
411,2.080436,-0.909589,-0.739147,-0.103498,1620812678831961856
412,2.079425,-0.854199,-0.741939,-0.087092,1620812678844889632
413,2.160741,-0.811246,-0.743161,-0.094073,1620812678870493728
414,2.165302,-0.820874,-0.746826,-0.083950,1620812678891877472
415,2.164227,-0.874587,-0.747874,-0.087092,1620812678907137792
416,2.230673,-0.839547,-0.751539,-0.077842,1620812678929003904
417,2.243733,-0.856227,-0.752761,-0.078889,1620812678947512416
418,2.316955,-0.837330,-0.755553,-0.061959,1620812678969577248
419,2.315791,-0.893627,-0.756251,-0.067195,1620812678988465920
420,2.322292,-0.842518,-0.757647,-0.064228,1620812679004813152
421,2.395671,-0.834942,-0.757647,-0.066672,1620812679028969088
422,2.392000,-0.852168,-0.759218,-0.050091,1620812679047510464
423,2.390750,-0.867820,-0.759567,-0.059865,1620812679067788192
424,2.471947,-0.896830,-0.760614,-0.069639,1620812679091166112
425,2.470679,-0.889925,-0.761138,-0.070162,1620812679108028864
426,2.468071,-0.922779,-0.762883,-0.067893,1620812679128441088
427,2.468052,-0.793722,-0.763407,-0.068068,1620812679148394240
428,2.541666,-0.812425,-0.766200,-0.075398,1620812679170545344
429,2.548094,-0.703587,-0.766898,-0.076445,1620812679185215584
430,2.623219,-0.747552,-0.771785,-0.067719,1620812679215685792
431,2.628274,-0.699731,-0.772483,-0.066497,1620812679230063936
432,2.633286,-0.686166,-0.774228,-0.071209,1620812679245170752
