frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
158,-0.054386,-0.021176,0.005585,0.027053,0,-0.016262,-0.007581,-0.000136,0.007122,0.000311,0.000000,0.032169,1.580000,-0.030000,1621685596777394115
159,-0.053160,-0.020994,0.005236,0.032987,0,-0.027995,-0.007411,-0.000134,0.006677,0.000379,0.000000,0.032169,1.720000,-0.030000,1621685596797756165
160,-0.052905,-0.021041,0.005061,0.031590,0,-0.039650,-0.007375,-0.000135,0.006454,0.000363,0.000000,0.032169,1.770000,-0.030000,1621685596815338423
161,-0.054163,-0.039052,0.000524,0.040492,0,-0.381983,-0.007550,-0.000250,0.000668,0.000466,0.000000,0.032169,1.810000,-0.040000,1621685596842071092
162,-0.053628,-0.040000,-0.000000,0.041539,0,-0.415624,-0.007476,-0.000256,-0.000000,0.000478,0.000000,0.032169,1.820000,-0.040000,1621685596854727184
163,-0.055023,-0.048624,-0.004712,0.035256,0,-0.778375,-0.007670,-0.000311,-0.006009,0.000405,0.000000,0.032169,1.830000,-0.040000,1621685596876483768
164,-0.054471,-0.049582,-0.005236,0.040492,0,-0.809120,-0.007593,-0.000317,-0.006677,0.000466,0.000000,0.032169,1.830000,-0.040000,1621685596900783512
165,-0.054187,-0.050332,-0.005585,0.038746,0,-0.833780,-0.007554,-0.000322,-0.007122,0.000446,0.000000,0.032169,1.850000,-0.040000,1621685596914270898
166,-0.052681,-0.052203,-0.006632,0.033859,0,-0.902177,-0.007344,-0.000334,-0.008457,0.000389,0.000000,0.032169,1.840000,-0.040000,1621685596935922654
167,-0.055113,-0.058120,-0.010123,0.043982,0,-1.172140,-0.007683,-0.000372,-0.012909,0.000506,0.000000,0.032169,1.790000,-0.040000,1621685596971546480
168,-0.053577,-0.058120,-0.010123,0.043982,0,-1.159872,-0.007469,-0.000372,-0.012909,0.000506,0.000000,0.032169,1.790000,-0.040000,1621685596978772106
169,-0.055188,-0.065351,-0.014486,0.035256,0,-1.499941,-0.007693,-0.000418,-0.018473,0.000405,0.000000,0.032169,1.750000,-0.040000,1621685596994849497
170,-0.063851,-0.066683,-0.014661,0.030194,0,-1.585707,-0.008901,-0.000427,-0.018695,0.000347,0.000000,0.032169,1.820000,-0.040000,1621685597014774282
