frame,pgsnh,gpsnl,gpseh,gpsel,heading_angle,yaw_rate,gps_state,gps_velocity,acceleration_forward,acceleration_lateral,acceleration_down,pitch_angle,velocity_down,velocity_lateral,velocity_forward,roll_angle
121,36.000000,0.177024,120.000000,0.488153,85.290000,-0.320000,4.000000,0.080000,-8.055000,12.387000,8.190000,0.930000,-1.180000,0.000000,0.050000,6.920000
122,36.000000,0.177024,120.000000,0.488153,85.330000,0.140000,4.000000,0.070000,-2.662000,0.617000,-18.794000,-5.880000,-1.360000,0.000000,0.060000,6.910000
123,36.000000,0.177024,120.000000,0.488153,85.330000,0.140000,4.000000,0.070000,-2.662000,0.617000,-18.794000,-5.880000,-1.360000,0.000000,0.060000,6.910000
124,36.000000,0.177024,120.000000,0.488153,85.330000,-0.430000,4.000000,0.070000,-4.849000,9.768000,12.837000,9.440000,-1.430000,0.000000,0.160000,6.850000
125,36.000000,0.177024,120.000000,0.488153,85.330000,-0.430000,4.000000,0.070000,-4.849000,9.768000,12.837000,9.440000,-1.430000,0.000000,0.160000,6.850000
126,36.000000,0.177024,120.000000,0.488153,85.330000,0.140000,4.000000,0.070000,4.279000,-3.420000,-12.679000,4.160000,-1.360000,0.000000,0.120000,6.880000
127,36.000000,0.177024,120.000000,0.488153,85.330000,0.140000,4.000000,0.070000,4.279000,-3.420000,-12.679000,4.160000,-1.360000,0.000000,0.120000,6.880000
128,36.000000,0.177024,120.000000,0.488153,85.320000,-0.440000,4.000000,0.070000,8.725000,-8.857000,-18.892000,-4.880000,-1.630000,0.000000,0.120000,6.870000
129,36.000000,0.177024,120.000000,0.488153,85.320000,0.240000,4.000000,0.070000,3.427000,-2.585000,-14.236000,2.830000,-1.650000,0.000000,0.110000,6.840000
130,36.000000,0.177024,120.000000,0.488153,85.320000,0.240000,4.000000,0.070000,3.427000,-2.585000,-14.236000,2.830000,-1.650000,0.000000,0.110000,6.840000
131,36.000000,0.177024,120.000000,0.488153,85.320000,0.240000,4.000000,0.070000,5.424000,-7.438000,-18.679000,-11.640000,-1.740000,0.000000,0.080000,6.850000
132,36.000000,0.177024,120.000000,0.488153,85.290000,-0.180000,4.000000,0.080000,8.489000,-4.277000,-16.824000,-3.820000,-1.970000,0.000000,0.170000,6.820000
133,36.000000,0.177024,120.000000,0.488153,85.290000,-0.180000,4.000000,0.080000,8.489000,-4.277000,-16.824000,-3.820000,-1.970000,0.000000,0.170000,6.820000
134,36.000000,0.177024,120.000000,0.488153,85.290000,0.260000,4.000000,0.080000,0.488000,-5.787000,-19.342000,-8.730000,-2.090000,0.000000,0.060000,6.860000
135,36.000000,0.177024,120.000000,0.488153,85.290000,0.260000,4.000000,0.080000,0.488000,-5.787000,-19.342000,-8.730000,-2.090000,0.000000,0.060000,6.860000
136,36.000000,0.177024,120.000000,0.488153,85.320000,-0.160000,4.000000,0.080000,-7.846000,2.836000,-1.401000,-18.330000,-2.150000,0.000000,0.020000,6.840000
137,36.000000,0.177024,120.000000,0.488153,85.320000,-0.160000,4.000000,0.080000,-7.846000,2.836000,-1.401000,-18.330000,-2.150000,0.000000,0.020000,6.840000
138,36.000000,0.177024,120.000000,0.488153,85.320000,0.210000,4.000000,0.080000,-5.640000,5.084000,16.346000,-2.590000,-2.040000,0.000000,0.080000,6.850000
139,36.000000,0.177024,120.000000,0.488153,85.320000,0.210000,4.000000,0.080000,-5.640000,5.084000,16.346000,-2.590000,-2.040000,0.000000,0.080000,6.850000
140,36.000000,0.177024,120.000000,0.488153,85.320000,0.360000,4.000000,0.080000,-10.339000,10.273000,-3.078000,-8.150000,-1.960000,0.000000,0.010000,6.890000
141,36.000000,0.177024,120.000000,0.488153,85.320000,0.360000,4.000000,0.080000,-10.339000,10.273000,-3.078000,-8.150000,-1.960000,0.000000,0.010000,6.890000
142,36.000000,0.177024,120.000000,0.488153,85.270000,-0.160000,4.000000,0.070000,-2.765000,5.766000,2.976000,-11.900000,-1.990000,0.000000,0.090000,6.880000
143,36.000000,0.177024,120.000000,0.488153,85.270000,0.370000,4.000000,0.070000,-12.358000,11.945000,5.392000,-9.980000,-1.760000,0.000000,0.000000,6.900000
144,36.000000,0.177024,120.000000,0.488153,85.270000,0.370000,4.000000,0.070000,-12.358000,11.945000,5.392000,-9.980000,-1.760000,0.000000,0.000000,6.900000
145,36.000000,0.177024,120.000000,0.488153,85.270000,-0.130000,4.000000,0.070000,-1.037000,3.770000,3.347000,-16.360000,-1.890000,0.000000,0.110000,6.860000
146,36.000000,0.177024,120.000000,0.488153,85.270000,-0.130000,4.000000,0.070000,-1.037000,3.770000,3.347000,-16.360000,-1.890000,0.000000,0.110000,6.860000
147,36.000000,0.177024,120.000000,0.488153,85.300000,0.370000,4.000000,0.080000,16.320000,-9.303000,-10.454000,7.110000,-1.870000,0.000000,0.250000,6.870000
148,36.000000,0.177024,120.000000,0.488153,85.300000,0.370000,4.000000,0.080000,16.320000,-9.303000,-10.454000,7.110000,-1.870000,0.000000,0.250000,6.870000
149,36.000000,0.177024,120.000000,0.488153,85.300000,-0.110000,4.000000,0.080000,3.493000,-1.500000,-18.446000,-4.870000,-1.900000,0.000000,0.200000,6.860000
150,36.000000,0.177024,120.000000,0.488153,85.300000,-0.110000,4.000000,0.080000,3.493000,-1.500000,-18.446000,-4.870000,-1.900000,0.000000,0.200000,6.860000
151,36.000000,0.177024,120.000000,0.488153,85.320000,0.260000,4.000000,0.080000,12.675000,-6.816000,-19.238000,-0.330000,-1.980000,0.000000,0.330000,6.820000
152,36.000000,0.177024,120.000000,0.488153,85.320000,0.250000,4.000000,0.080000,-1.929000,-2.967000,-11.460000,6.070000,-1.990000,0.000000,0.170000,6.870000
