frame,pgsnh,gpsnl,gpseh,gpsel,heading_angle,yaw_rate,gps_state,gps_velocity,acceleration_forward,acceleration_lateral,acceleration_down,pitch_angle,velocity_down,velocity_lateral,velocity_forward,roll_angle,timestamp
78,36.000000,0.177716,120.000000,0.487752,179.320000,1.180000,4.000000,1.150000,1.393000,14.337000,7.508000,-0.520000,-3.890000,0.010000,1.120000,-0.470000,1621685595164398707
79,36.000000,0.177716,120.000000,0.487752,179.360000,1.000000,4.000000,1.150000,2.168000,-20.217000,-19.876000,-0.500000,-3.980000,0.010000,1.130000,-0.470000,1621685595184245132
80,36.000000,0.177716,120.000000,0.487752,179.370000,0.940000,4.000000,1.190000,-5.488000,-19.959000,13.424000,-0.490000,-3.730000,0.010000,1.090000,-0.470000,1621685595204264670
81,36.000000,0.177716,120.000000,0.487752,179.330000,1.120000,4.000000,1.190000,-5.134000,-20.212000,-19.946000,-0.510000,-3.970000,0.010000,1.060000,-0.450000,1621685595224236305
82,36.000000,0.177716,120.000000,0.487752,179.310000,0.270000,4.000000,1.190000,0.276000,-18.347000,-19.931000,-0.570000,-4.120000,0.010000,1.100000,-0.330000,1621685595244320192
83,36.000000,0.177715,120.000000,0.487752,179.290000,1.490000,4.000000,1.270000,-2.749000,-20.160000,-19.979000,-0.550000,-3.890000,0.010000,1.100000,-0.300000,1621685595264230391
84,36.000000,0.177715,120.000000,0.487752,179.300000,0.340000,4.000000,1.270000,3.335000,-20.083000,-6.294000,-0.590000,-3.910000,0.010000,1.230000,-0.240000,1621685595284398818
85,36.000000,0.177715,120.000000,0.487752,179.300000,0.290000,4.000000,1.220000,2.798000,-20.122000,-19.961000,-0.630000,-3.960000,0.010000,1.280000,-0.190000,1621685595304248475
86,36.000000,0.177715,120.000000,0.487752,179.310000,0.410000,4.000000,1.220000,6.163000,-20.043000,11.109000,-0.660000,-3.810000,0.010000,1.300000,-0.080000,1621685595324343594
87,36.000000,0.177715,120.000000,0.487752,179.330000,0.960000,4.000000,1.220000,1.169000,-7.437000,-20.027000,-0.670000,-3.890000,0.010000,1.300000,-0.130000,1621685595344269695
88,36.000000,0.177714,120.000000,0.487752,179.320000,0.660000,4.000000,1.190000,-1.058000,-20.025000,-20.104000,-0.710000,-4.120000,0.010000,1.240000,0.090000,1621685595365574269
89,36.000000,0.177714,120.000000,0.487752,179.280000,0.290000,4.000000,1.190000,-4.513000,-14.825000,-20.176000,-0.750000,-3.960000,0.010000,1.170000,0.230000,1621685595384320450
90,36.000000,0.177714,120.000000,0.487752,179.260000,1.080000,4.000000,1.160000,2.736000,15.427000,11.890000,-0.730000,-3.800000,0.010000,1.150000,0.200000,1621685595404403665
91,36.000000,0.177713,120.000000,0.487752,179.400000,0.530000,4.000000,1.160000,6.819000,-3.484000,-19.997000,-0.670000,-3.960000,0.010000,1.170000,0.300000,1621685595424305544
92,36.000000,0.177713,120.000000,0.487752,179.440000,1.010000,4.000000,1.160000,6.819000,-3.484000,-19.997000,-0.650000,-3.810000,0.010000,1.260000,0.280000,1621685595447581141
93,36.000000,0.177713,120.000000,0.487752,179.410000,0.710000,4.000000,1.160000,4.451000,1.890000,-1.702000,-0.590000,-3.840000,0.010000,1.260000,0.400000,1621685595464980209
94,36.000000,0.177713,120.000000,0.487752,179.410000,0.710000,4.000000,1.160000,4.451000,1.890000,-1.702000,-0.590000,-3.840000,0.010000,1.260000,0.400000,1621685595485038689
95,36.000000,0.177713,120.000000,0.487752,179.310000,0.520000,4.000000,1.130000,-5.509000,12.733000,-0.975000,-0.630000,-3.500000,0.000000,1.170000,0.450000,1621685595504937528
96,36.000000,0.177713,120.000000,0.487752,179.310000,0.520000,4.000000,1.130000,-5.509000,12.733000,-0.975000,-0.630000,-3.500000,0.000000,1.170000,0.450000,1621685595524972521
97,36.000000,0.177712,120.000000,0.487752,179.300000,0.700000,4.000000,1.130000,3.228000,-3.509000,-6.769000,-0.590000,-3.530000,0.000000,1.180000,0.510000,1621685595542973069
98,36.000000,0.177712,120.000000,0.487752,179.340000,0.880000,4.000000,1.210000,-1.527000,-0.521000,-6.046000,-0.550000,-3.370000,0.010000,1.100000,0.610000,1621685595572781617
99,36.000000,0.177712,120.000000,0.487752,179.360000,0.460000,4.000000,1.210000,5.786000,-6.918000,-15.413000,-0.520000,-3.400000,0.010000,1.170000,0.670000,1621685595588172287
100,36.000000,0.177712,120.000000,0.487752,179.440000,0.640000,4.000000,1.250000,2.252000,14.519000,2.077000,-0.490000,-3.300000,0.010000,1.190000,0.740000,1621685595606407385
101,36.000000,0.177711,120.000000,0.487752,179.490000,0.390000,4.000000,1.250000,1.024000,7.847000,-6.862000,-0.460000,-3.360000,0.010000,1.250000,0.830000,1621685595624202213
102,36.000000,0.177711,120.000000,0.487752,179.630000,0.750000,4.000000,1.320000,2.844000,-0.529000,-12.305000,-0.470000,-3.350000,0.010000,1.270000,0.900000,1621685595644166201
